Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,30.620001,31.240000,27.660000,28.180000,21.509577,1359650900
2010-02-01,28.389999,29.030001,27.570000,28.670000,21.883593,1074643300
2010-03-01,28.770000,30.570000,28.240000,29.290001,22.461380,1110237200
2010-04-01,29.350000,31.580000,28.620001,30.540001,23.419954,1319029500
2010-05-01,30.670000,31.059999,24.559999,25.799999,19.785032,1720130200
2010-06-01,25.530001,26.930000,22.950001,23.010000,17.725117,1671811600
2010-07-01,23.090000,26.410000,22.730000,25.809999,19.882008,1408590600
2010-08-01,25.990000,26.379999,23.320000,23.469999,18.079454,1279372100
2010-09-01,23.670000,25.530001,23.540001,24.490000,18.965818,1273139500
2010-10-01,24.770000,27.200001,23.780001,26.670000,20.654079,1281432800
2010-11-01,26.879999,28.870001,24.930000,25.260000,19.562138,1361176300
2010-12-01,25.570000,28.400000,25.559999,27.910000,21.747181,1033710000
2011-01-01,28.049999,29.459999,27.420000,27.730000,21.606926,1361258700
2011-02-01,27.799999,28.340000,26.430000,26.580000,20.710859,1114368500
2011-03-01,26.600000,26.780001,24.680000,25.389999,19.900555,1310885200
2011-04-01,25.530001,26.870001,24.719999,25.920000,20.315966,1313844800
2011-05-01,25.940001,26.250000,24.030001,25.010000,19.602718,1364062800
2011-06-01,24.990000,26.000000,23.650000,26.000000,20.512255,1297757600
2011-07-01,25.930000,28.150000,25.840000,27.400000,21.616751,1259328200
2011-08-01,27.510000,27.690001,23.790001,26.600000,20.985617,1719339500
2011-09-01,26.459999,27.500000,24.600000,24.889999,19.760473,1279920200
2011-10-01,24.719999,27.500000,24.260000,26.629999,21.141884,1218142500
2011-11-01,26.190001,27.200001,24.299999,25.580000,20.308270,1046207400
2011-12-01,25.559999,26.190001,25.160000,25.959999,20.765146,1007166600
2012-01-01,26.549999,29.950001,26.389999,29.530001,23.620764,1354858100
2012-02-01,29.790001,32.000000,29.709999,31.740000,25.388519,984332300
2012-03-01,31.930000,32.950001,31.490000,32.259998,25.974340,942366500
2012-04-01,32.220001,32.889999,30.230000,32.020000,25.781103,940739700
2012-05-01,32.049999,32.340000,28.639999,29.190001,23.502512,1014372600
2012-06-01,28.760000,31.139999,28.320000,30.590000,24.791346,973131400
2012-07-01,30.620001,31.049999,28.540001,29.469999,23.883657,846604100
2012-08-01,29.590000,30.959999,28.969999,30.820000,24.977745,671748400
2012-09-01,30.450001,31.610001,29.740000,29.760000,24.278458,893107700
2012-10-01,29.809999,30.250000,27.760000,28.540001,23.283167,1105402300
2012-11-01,28.840000,30.200001,26.340000,26.620001,21.716820,1310516100
2012-12-01,26.780001,27.730000,26.260000,26.709999,21.969294,947310900
2013-01-01,27.250000,28.230000,26.280001,27.450001,22.577950,1145054400
2013-02-01,27.670000,28.200001,27.100000,27.799999,22.865831,780587000
2013-03-01,27.719999,28.660000,27.520000,28.610001,23.726896,844946000
2013-04-01,28.639999,33.110001,28.110001,33.099998,27.450558,1465757200
2013-05-01,32.930000,35.279999,32.320000,34.900002,28.943340,1071860000
2013-06-01,34.919998,35.779999,32.570000,34.540001,28.845644,945155500
2013-07-01,34.750000,36.430000,31.020000,31.840000,26.590771,1111130600
2013-08-01,32.060001,35.200001,30.840000,33.400002,27.893581,1051265000
2013-09-01,31.750000,33.750000,30.950001,33.279999,27.989214,1242961500
2013-10-01,33.349998,36.290001,32.799999,35.410000,29.780602,965331500
2013-11-01,35.669998,38.290001,35.389999,38.130001,32.068176,800431600
